Threshold_Years,FP_Cost,FN_Cost,Cost_Ratio,Best_Thresh,FP,FN,FP_Rate,FN_Rate,Error_Ratio_FP_to_FN
7,81,19,4.2631578947368425,0.6900000000000001,30,213,0.05319148936170213,0.36660929432013767,0.14084507042253522
7,80,20,4.0,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,79,21,3.761904761904762,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,78,22,3.5454545454545454,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,77,23,3.347826086956522,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,76,24,3.1666666666666665,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,75,25,3.0,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,74,26,2.8461538461538463,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,73,27,2.7037037037037037,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,72,28,2.5714285714285716,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,71,29,2.4482758620689653,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,70,30,2.3333333333333335,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,69,31,2.225806451612903,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,68,32,2.125,0.67,33,201,0.05851063829787234,0.3459552495697074,0.16417910447761194
7,67,33,2.0303030303030303,0.63,42,182,0.07446808510638298,0.3132530120481928,0.23076923076923078
7,66,34,1.9411764705882353,0.63,42,182,0.07446808510638298,0.3132530120481928,0.23076923076923078
7,65,35,1.8571428571428572,0.63,42,182,0.07446808510638298,0.3132530120481928,0.23076923076923078
7,64,36,1.7777777777777777,0.63,42,182,0.07446808510638298,0.3132530120481928,0.23076923076923078
7,63,37,1.7027027027027026,0.63,42,182,0.07446808510638298,0.3132530120481928,0.23076923076923078
7,62,38,1.631578947368421,0.63,42,182,0.07446808510638298,0.3132530120481928,0.23076923076923078
7,61,39,1.564102564102564,0.63,42,182,0.07446808510638298,0.3132530120481928,0.23076923076923078
7,60,40,1.5,0.63,42,182,0.07446808510638298,0.3132530120481928,0.23076923076923078
7,59,41,1.4390243902439024,0.5800000000000001,60,156,0.10638297872340426,0.2685025817555938,0.38461538461538464
7,58,42,1.380952380952381,0.5800000000000001,60,156,0.10638297872340426,0.2685025817555938,0.38461538461538464
7,57,43,1.3255813953488371,0.5800000000000001,60,156,0.10638297872340426,0.2685025817555938,0.38461538461538464
7,56,44,1.2727272727272727,0.55,73,139,0.12943262411347517,0.23924268502581755,0.5251798561151079
7,55,45,1.2222222222222223,0.55,73,139,0.12943262411347517,0.23924268502581755,0.5251798561151079
7,54,46,1.173913043478261,0.55,73,139,0.12943262411347517,0.23924268502581755,0.5251798561151079
7,53,47,1.127659574468085,0.53,80,131,0.14184397163120568,0.22547332185886404,0.6106870229007634
7,52,48,1.0833333333333333,0.53,80,131,0.14184397163120568,0.22547332185886404,0.6106870229007634
7,51,49,1.0408163265306123,0.53,80,131,0.14184397163120568,0.22547332185886404,0.6106870229007634
7,50,50,1.0,0.53,80,131,0.14184397163120568,0.22547332185886404,0.6106870229007634
7,49,51,0.9607843137254902,0.53,80,131,0.14184397163120568,0.22547332185886404,0.6106870229007634
7,48,52,0.9230769230769231,0.53,80,131,0.14184397163120568,0.22547332185886404,0.6106870229007634
7,47,53,0.8867924528301887,0.53,80,131,0.14184397163120568,0.22547332185886404,0.6106870229007634
7,46,54,0.8518518518518519,0.53,80,131,0.14184397163120568,0.22547332185886404,0.6106870229007634
7,45,55,0.8181818181818182,0.48000000000000004,100,114,0.1773049645390071,0.1962134251290878,0.8771929824561403
7,44,56,0.7857142857142857,0.48000000000000004,100,114,0.1773049645390071,0.1962134251290878,0.8771929824561403
7,43,57,0.7543859649122807,0.48000000000000004,100,114,0.1773049645390071,0.1962134251290878,0.8771929824561403
7,42,58,0.7241379310344828,0.48000000000000004,100,114,0.1773049645390071,0.1962134251290878,0.8771929824561403
7,41,59,0.6949152542372882,0.48000000000000004,100,114,0.1773049645390071,0.1962134251290878,0.8771929824561403
7,40,60,0.6666666666666666,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
7,39,61,0.639344262295082,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
7,38,62,0.6129032258064516,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
7,37,63,0.5873015873015873,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
7,36,64,0.5625,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
7,35,65,0.5384615384615384,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
7,34,66,0.5151515151515151,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
7,33,67,0.4925373134328358,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
7,32,68,0.47058823529411764,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
7,31,69,0.4492753623188406,0.35000000000000003,167,68,0.29609929078014185,0.11703958691910499,2.4558823529411766
